"tweet_id"	"query"	"word"	"th"	"ni"	"gruppe"	"adj"	"opp"	0	1	"0'"	"1'"
"t741396569153523712"	"pattern3_agenda_is_wanted_by_entity"	"I do not know why the Brexit rabble who are even supported by the clergy it seems think Farage is all for the workers he is definately NOT"	"t"	"t"	"t"	"t"		"clergy"	"Brexit rabble"		
"t744687846808780802"	"pattern3_agenda_is_wanted_by_entity"	"@SparksThom We are supported by Europe . 50% if our trade . And we trade with the world anyway . Stronger trade because we are in EU !"	"t"	"t"	"t"	"f"		"Europe"	"We"		
"t744084177126064128"	"pattern3_agenda_is_wanted_by_entity"	"@noisykafir Brexit is supported by Putin 's friend Farage . ISIS is supported by Putin 's friend Assad . All linked https://t.co/aLd6Xx40VT"	"t"	"t"	"t"	"t"		"Putin 's friend Farage"	"Brexit"		
"t734869743396478976"	"pattern3_agenda_is_wanted_by_entity"	"@rburns It is for me : Bankers and government have lied about everything so far , so Remain is backed by liars . #newsnight #Brexit all the way"	"t"	"t"	"t"	"t"		"liars"	"Remain"		
"t737927438416633856"	"pattern3_agenda_is_wanted_by_entity"	"READ : Consensus amongst economists that Brexit would cause permanent damage to the UK is not supported by evidence : https://t.co/73NFKDSrJ9"	"f"	"f"	"f"	"f"					
"t741925201940779008"	"pattern3_agenda_is_wanted_by_entity"	"No one individual is the voice of Brexit : Leave is supported by the Left & Right , by businesspeople , academics , students , workers , retirees ."	"t"	"t"	"t"	"t"		"the Left & Right"	"Leave"		
"t741925201940779008"	"pattern3_agenda_is_wanted_by_entity"	"No one individual is the voice of Brexit : Leave is supported by the Left & Right , by businesspeople , academics , students , workers , retirees ."	"t"	"t"	"t"	"t"		"businesspeople , academics , students , workers , retirees"	"Leave"		
"t743851751258873856"	"pattern3_agenda_is_wanted_by_entity"	"Jo opposed #Brexit . It is supported by racists and fear-mongers unable to see the harm leaving the #EU will cause . https://t.co/Zex9aXGos2"	"t"	"t"	"t"	"t"		"racists and fear-mongers"	"It"		"#Brexit"
"t743851751258873856"	"pattern3_agenda_is_wanted_by_entity"	"Jo opposed #Brexit . It is supported by racists and fear-mongers unable to see the harm leaving the #EU will cause . https://t.co/Zex9aXGos2"	"f"	"t"	"t"	"t"	"x"	"Jo"	"#Brexit"		
"t744744552615968768"	"pattern3_agenda_is_wanted_by_entity"	"Bonds are best to protect UK shares from Brexit risk https://t.co/BhdcCoEZq2 The bond , which is backed by Tesco ... https://t.co/qxGjz9r0eB"	"f"	"t"	"f"	"f"					
