tweet_id	query
t738994856509485056	pattern24_entities_like_group
t731883791598428161	pattern24_entities_like_group
t744111369662894080	pattern24_entities_like_group
t741914575998705665	pattern24_entities_like_group
t733602834126622720	pattern24_entities_like_group
t742788942378995712	pattern24_entities_like_group
t741564082843754496	pattern24_entities_like_group
t734654262735740928	pattern24_entities_like_group
t739564091631652864	pattern24_entities_like_group
t736185338071293952	pattern24_entities_like_group
t745601567630499844	pattern24_entities_like_group
t734387382456340480	pattern24_entities_like_group
t738838598351486977	pattern24_entities_like_group
t732301710971023361	pattern24_entities_like_group
t736493701103550465	pattern24_entities_like_group
t744110119848382464	pattern24_entities_like_group
t732185045843226624	pattern24_entities_like_group
t730065424474345473	pattern24_entities_like_group
t739386658794135552	pattern24_entities_like_group
t743512708516044800	pattern24_entities_like_group
t732143767902392320	pattern24_entities_like_group
t740181640278855680	pattern24_entities_like_group
t744459014268923904	pattern24_entities_like_group
t745615649423171584	pattern24_entities_like_group
t744763863019593728	pattern24_entities_like_group
t743924081595158528	pattern24_entities_like_group
t744222014806855680	pattern24_entities_like_group
t735346371591602178	pattern24_entities_like_group
t740873001231650817	pattern24_entities_like_group
t744314679627919360	pattern24_entities_like_group
t733426510904745987	pattern24_entities_like_group
t735823254984785920	pattern24_entities_like_group
t734393713041014785	pattern24_entities_like_group
t736235121578233856	pattern24_entities_like_group
t740158799810580480	pattern24_entities_like_group
t741770390729596929	pattern24_entities_like_group
t745923929462685696	pattern24_entities_like_group
t741263963296518145	pattern24_entities_like_group
t734272672679464961	pattern24_entities_like_group
t741908563648471040	pattern24_entities_like_group
t742735287927853056	pattern24_entities_like_group
t735353751599452161	pattern24_entities_like_group
t740961166122422272	pattern24_entities_like_group
t746124453323603968	pattern24_entities_like_group
t745654702965161985	pattern24_entities_like_group
t729689735749369857	pattern24_entities_like_group
t731790599364321280	pattern24_entities_like_group
t742494432331726848	pattern24_entities_like_group
t745227445024993280	pattern24_entities_like_group
t741552786928762880	pattern24_entities_like_group
t742376854259130373	pattern24_entities_like_group
t744520799403446277	pattern24_entities_like_group
t731448576828641280	pattern24_entities_like_group
t741956177039392768	pattern24_entities_like_group
t742659417603223552	pattern24_entities_like_group
t739573854373351424	pattern24_entities_like_group
t744798054780309505	pattern24_entities_like_group
t742301663554379777	pattern24_entities_like_group
