tweet_id	query
t739729400682418177	pattern3_entity_wants_their_concept_back
t739437699392802816	pattern3_entity_wants_their_concept_back
t745712231980105728	pattern3_entity_wants_their_concept_back
t743789843772223488	pattern3_entity_wants_their_concept_back
t741258781586296832	pattern3_entity_wants_their_concept_back
t745883874048221184	pattern3_entity_wants_their_concept_back
t743404600041050112	pattern3_entity_wants_their_concept_back
t744274764886319108	pattern3_entity_wants_their_concept_back
t733016479239655424	pattern3_entity_wants_their_concept_back
t735927955768127489	pattern3_entity_wants_their_concept_back
t744265107434151937	pattern3_entity_wants_their_concept_back
t741629722707296256	pattern3_entity_wants_their_concept_back
t738473029018259457	pattern3_entity_wants_their_concept_back
t730646186214998016	pattern3_entity_wants_their_concept_back
t736222559201558530	pattern3_entity_wants_their_concept_back
t734033611222061057	pattern3_entity_wants_their_concept_back
t745747740215382016	pattern3_entity_wants_their_concept_back
t735773547046404100	pattern3_entity_wants_their_concept_back
t745772291666120705	pattern3_entity_wants_their_concept_back
t744254123512635392	pattern3_entity_wants_their_concept_back
t745522301324562432	pattern3_entity_wants_their_concept_back
t745527503217795076	pattern3_entity_wants_their_concept_back
t742798605614977024	pattern3_entity_wants_their_concept_back
t745449560932179970	pattern3_entity_wants_their_concept_back
t743412534242344960	pattern3_entity_wants_their_concept_back
t742453506058096641	pattern3_entity_wants_their_concept_back
t736333021704552449	pattern3_entity_wants_their_concept_back
t738428813785210880	pattern3_entity_wants_their_concept_back
t745068202447691776	pattern3_entity_wants_their_concept_back
t745907381608022016	pattern3_entity_wants_their_concept_back
t740943900471332864	pattern3_entity_wants_their_concept_back
t746026316944781316	pattern3_entity_wants_their_concept_back
t742350607718227968	pattern3_entity_wants_their_concept_back
t743108475555852288	pattern3_entity_wants_their_concept_back
t735497860175777796	pattern3_entity_wants_their_concept_back
t745952087909994496	pattern3_entity_wants_their_concept_back
t745986888821932032	pattern3_entity_wants_their_concept_back
t745496356970651652	pattern3_entity_wants_their_concept_back
t745489011972550656	pattern3_entity_wants_their_concept_back
t732957617061040129	pattern3_entity_wants_their_concept_back
t737226611871780864	pattern3_entity_wants_their_concept_back
t743527434344095745	pattern3_entity_wants_their_concept_back
t733040707850489856	pattern3_entity_wants_their_concept_back
t742340609361448961	pattern3_entity_wants_their_concept_back
t745341203374350336	pattern3_entity_wants_their_concept_back
t736475926771404800	pattern3_entity_wants_their_concept_back
t745972498399903744	pattern3_entity_wants_their_concept_back
t738873778491494400	pattern3_entity_wants_their_concept_back
t742405710122778624	pattern3_entity_wants_their_concept_back
t733614785347112960	pattern3_entity_wants_their_concept_back
t745487582146899968	pattern3_entity_wants_their_concept_back
t733646897534078978	pattern3_entity_wants_their_concept_back
t743469584146178049	pattern3_entity_wants_their_concept_back
t745680772938481665	pattern3_entity_wants_their_concept_back
t741778996703137793	pattern3_entity_wants_their_concept_back
t743421695130734593	pattern3_entity_wants_their_concept_back
t739033000676057088	pattern3_entity_wants_their_concept_back
t744501163521880065	pattern3_entity_wants_their_concept_back
t745368018042003457	pattern3_entity_wants_their_concept_back
t743415836656939008	pattern3_entity_wants_their_concept_back
t743328921316298752	pattern3_entity_wants_their_concept_back
t745370727327633408	pattern3_entity_wants_their_concept_back
t743400167466999809	pattern3_entity_wants_their_concept_back
t736512033441648640	pattern3_entity_wants_their_concept_back
t736443094439235585	pattern3_entity_wants_their_concept_back
t738776833039208448	pattern3_entity_wants_their_concept_back
t738944673172062208	pattern3_entity_wants_their_concept_back
t741027723959795712	pattern3_entity_wants_their_concept_back
t745507734305406976	pattern3_entity_wants_their_concept_back
t730841645705531393	pattern3_entity_wants_their_concept_back
t740254901419266053	pattern3_entity_wants_their_concept_back
t737368792918044672	pattern3_entity_wants_their_concept_back
t745826660356755458	pattern3_entity_wants_their_concept_back
t742439768328409088	pattern3_entity_wants_their_concept_back
t735095244480466949	pattern3_entity_wants_their_concept_back
t739120200407191552	pattern3_entity_wants_their_concept_back
t739565502213828608	pattern3_entity_wants_their_concept_back
t742831040067174400	pattern3_entity_wants_their_concept_back
t745692237347028993	pattern3_entity_wants_their_concept_back
t743746513226997763	pattern3_entity_wants_their_concept_back
t743050014247751680	pattern3_entity_wants_their_concept_back
t741991696817356801	pattern3_entity_wants_their_concept_back
t744595436132929536	pattern3_entity_wants_their_concept_back
t737026208702029825	pattern3_entity_wants_their_concept_back
t743195220557258752	pattern3_entity_wants_their_concept_back
t741929791020994560	pattern3_entity_wants_their_concept_back
t742980900770729984	pattern3_entity_wants_their_concept_back
t745388915448635392	pattern3_entity_wants_their_concept_back
t731916610508886016	pattern3_entity_wants_their_concept_back
t734001286161530880	pattern3_entity_wants_their_concept_back
t739499536721317888	pattern3_entity_wants_their_concept_back
t743348126321254400	pattern3_entity_wants_their_concept_back
t735554461708455938	pattern3_entity_wants_their_concept_back
t740168876202328064	pattern3_entity_wants_their_concept_back
t743347603052466176	pattern3_entity_wants_their_concept_back
t734475209516978176	pattern3_entity_wants_their_concept_back
t739038107455086592	pattern3_entity_wants_their_concept_back
t742939473877569536	pattern3_entity_wants_their_concept_back
t735860092927643648	pattern3_entity_wants_their_concept_back
t742599724289642496	pattern3_entity_wants_their_concept_back
t734799307040292865	pattern3_entity_wants_their_concept_back
t745390278954070016	pattern3_entity_wants_their_concept_back
t734082884525522945	pattern3_entity_wants_their_concept_back
t742978971441201157	pattern3_entity_wants_their_concept_back
t745612504932454401	pattern3_entity_wants_their_concept_back
t743355191039164417	pattern3_entity_wants_their_concept_back
t734385068584632321	pattern3_entity_wants_their_concept_back
t745749824163680256	pattern3_entity_wants_their_concept_back
t740137401746591744	pattern3_entity_wants_their_concept_back
t735043521535737856	pattern3_entity_wants_their_concept_back
t739473689612292097	pattern3_entity_wants_their_concept_back
t745635451675934720	pattern3_entity_wants_their_concept_back
t738642021540343808	pattern3_entity_wants_their_concept_back
t743857854315134976	pattern3_entity_wants_their_concept_back
t743827976463200256	pattern3_entity_wants_their_concept_back
t734768772821684224	pattern3_entity_wants_their_concept_back
t743316898499092480	pattern3_entity_wants_their_concept_back
t741715001149362176	pattern3_entity_wants_their_concept_back
t744376482567331841	pattern3_entity_wants_their_concept_back
t743437083046481920	pattern3_entity_wants_their_concept_back
t736604623973142536	pattern3_entity_wants_their_concept_back
t738493303532990464	pattern3_entity_wants_their_concept_back
t738481574379917312	pattern3_entity_wants_their_concept_back
t738619670543007744	pattern3_entity_wants_their_concept_back
t745378709578854400	pattern3_entity_wants_their_concept_back
t735964325844791297	pattern3_entity_wants_their_concept_back
t745975463227494402	pattern3_entity_wants_their_concept_back
t741565987254861824	pattern3_entity_wants_their_concept_back
t744455935465259009	pattern3_entity_wants_their_concept_back
t739917453564772354	pattern3_entity_wants_their_concept_back
t741571570708140032	pattern3_entity_wants_their_concept_back
t744797631184928770	pattern3_entity_wants_their_concept_back
t740051160309071872	pattern3_entity_wants_their_concept_back
t745758785331929088	pattern3_entity_wants_their_concept_back
t739710603527397376	pattern3_entity_wants_their_concept_back
t743348086852882432	pattern3_entity_wants_their_concept_back
t731873271059222528	pattern3_entity_wants_their_concept_back
t739278376876154881	pattern3_entity_wants_their_concept_back
t735099950892232704	pattern3_entity_wants_their_concept_back
t745332498398322689	pattern3_entity_wants_their_concept_back
t735770004155551744	pattern3_entity_wants_their_concept_back
t738982693329854464	pattern3_entity_wants_their_concept_back
t745703838942781440	pattern3_entity_wants_their_concept_back
t737436311771095041	pattern3_entity_wants_their_concept_back
t745865691610374144	pattern3_entity_wants_their_concept_back
t730727898928300032	pattern3_entity_wants_their_concept_back
t738692094559199232	pattern3_entity_wants_their_concept_back
t745490871957610499	pattern3_entity_wants_their_concept_back
t745732536085676032	pattern3_entity_wants_their_concept_back
t745869685745389568	pattern3_entity_wants_their_concept_back
t741006566665691140	pattern3_entity_wants_their_concept_back
t740249309208317952	pattern3_entity_wants_their_concept_back
t733018214951735296	pattern3_entity_wants_their_concept_back
t738854387792089088	pattern3_entity_wants_their_concept_back
t737390932874645505	pattern3_entity_wants_their_concept_back
t745389920613588992	pattern3_entity_wants_their_concept_back
t730823922082582528	pattern3_entity_wants_their_concept_back
t742387086016286721	pattern3_entity_wants_their_concept_back
t745705135540674562	pattern3_entity_wants_their_concept_back
t741429215132815360	pattern3_entity_wants_their_concept_back
t743016111181058048	pattern3_entity_wants_their_concept_back
t743435218397200385	pattern3_entity_wants_their_concept_back
t745650829458280448	pattern3_entity_wants_their_concept_back
t735352768827949056	pattern3_entity_wants_their_concept_back
t736985798176874496	pattern3_entity_wants_their_concept_back
t745977033008750596	pattern3_entity_wants_their_concept_back
t744565268597383168	pattern3_entity_wants_their_concept_back
t743807728963956736	pattern3_entity_wants_their_concept_back
t736951566847074305	pattern3_entity_wants_their_concept_back
t740257056821784577	pattern3_entity_wants_their_concept_back
t741570369392369664	pattern3_entity_wants_their_concept_back
t740863172635168768	pattern3_entity_wants_their_concept_back
t745886598714236928	pattern3_entity_wants_their_concept_back
t745704431958753281	pattern3_entity_wants_their_concept_back
t731016442087415809	pattern3_entity_wants_their_concept_back
t746113640009371648	pattern3_entity_wants_their_concept_back
t739894103425585153	pattern3_entity_wants_their_concept_back
t741573175683747842	pattern3_entity_wants_their_concept_back
t744185818592481280	pattern3_entity_wants_their_concept_back
t743118537007468544	pattern3_entity_wants_their_concept_back
t731798200806412288	pattern3_entity_wants_their_concept_back
t743419294755790848	pattern3_entity_wants_their_concept_back
t740285299247468544	pattern3_entity_wants_their_concept_back
t741829577337536512	pattern3_entity_wants_their_concept_back
t740296672480108544	pattern3_entity_wants_their_concept_back
t743765963728916480	pattern3_entity_wants_their_concept_back
t743413973819756544	pattern3_entity_wants_their_concept_back
t745318825437073408	pattern3_entity_wants_their_concept_back
t742483487014457344	pattern3_entity_wants_their_concept_back
t744541531986661378	pattern3_entity_wants_their_concept_back
t734356449053278208	pattern3_entity_wants_their_concept_back
t737364757783678976	pattern3_entity_wants_their_concept_back
t743597079994470401	pattern3_entity_wants_their_concept_back
t743494846296522752	pattern3_entity_wants_their_concept_back
t740265050984812544	pattern3_entity_wants_their_concept_back
t745260158645846016	pattern3_entity_wants_their_concept_back
t743821452516933632	pattern3_entity_wants_their_concept_back
t742727432059379712	pattern3_entity_wants_their_concept_back
t726838002433957888	pattern3_entity_wants_their_concept_back
t738660824416440320	pattern3_entity_wants_their_concept_back
t745369193076269056	pattern3_entity_wants_their_concept_back
t744094862153293825	pattern3_entity_wants_their_concept_back
t745708057942962176	pattern3_entity_wants_their_concept_back
t744854393120559104	pattern3_entity_wants_their_concept_back
