idx	name	template	explanation	retired	kind
0	quotation	Q_{{?0 : entity}}({?1 : formula})	entity 0 claims that formula 1 is true	False	formula
2	counterfactual implication	({?0 : formula}) \cfac ({?1 : formula})	truth of formula 0 leads to truth of formula 1	False	formula
3	desire	D_{{?0 : entity}} ({?1 : formula})	truth of formula 1 is desirable for entity 0	False	formula
4	ought	O ({?0 : formula})	formula 0 should be made true	False	formula
5	possibility	\diamond ({?0 : formula})	formula 0 could be true	False	formula
6	bad for concept	badFor({?0 : concept}, {?1 : formula})	formula 1 is/would be bad for concept 0	False	formula
8	good for concept	goodFor({?0 : concept}, {?1 : formula})	formula 1 is/would be good for concept 0	False	formula
10	belief	B_{{?0 : entity}}({?1 : formula})	entity 0 believes that formula 1 is true	False	formula
11	option	A_{{?0 : entity}}({?1 : action})	entity 0 has the option to perform action 1	False	formula
12	default implication	({?0 : formula}) \dimplies ({?1 : formula})	when formula 0 is true, formula 1 usually is also true	False	formula
15	similarity	({?0 : concept}) \sim ({?1 : concept})	concept 0 is similar to concept 1	False	formula
16	expressed better	Q_{{?1 : entity}}(({?0 : formula}) \leq ({?2 : formula}))	entity 1 expressed preference of formula 2 over formula 0	False	formula
19	entity's obligation	O ({?0 : entity}) stit ({?1 : formula})	entity 0 should make formula 1 true	False	formula
20	lying	Q_{{?0 : entity}} ({?1 : formula}) \land \neg B_{{?0}} ({?1})	entity 0 lies about formula 1	False	formula
21	ad-hominem	\neg moral({?0 : entity})	entity 0 is morally bad and should be condemned	False	formula
22	necessary condition	(neg {?0 : formula}) \mcauses (\neg {?1 : formula})	formula 0 is necessary for formula 1	False	formula
23	implication	({?0 : formula}) \implies ({?1 : formula})	if formula 0 then formula 1 	False	formula
24	membership	{?0 : entity} \implies {?1 : entity}	entity 0 is part of entity 1	False	formula
25	universal	({?0 : entity})\implies \downarrow x.\,({?1 : formula \text{ mentioning } x})	all entities in entity 0 have property 1	False	formula
26	position to know	K_{{?0 : entity}} ({?1 : formula}); K_{{?2 : entity}}(?1)); (?2) \implies (?0)	entity 2 is part of entity 0 whose members know formula 1	False	formula
27	negation	\neg {?0 : formula}	formula 0 is false	False	formula
